us,us_zmk,jis,jis_zmk
@,AT_SIGN,“,DOUBLE_QUOTES
@,AT,“,DOUBLE_QUOTES
^,CARET,&,AMPERSAND
&,AMPERSAND,',SINGLE_QUOTE
&,AMPS,',SINGLE_QUOTE
*,ASTERISK,(,LEFT_PARENTHESIS
*,ASTRK,(,LEFT_PARENTHESIS
*,STAR,(,LEFT_PARENTHESIS
(,LEFT_PARENTHESIS,),RIGHT_PARENTHESIS
(,LPAR,),RIGHT_PARENTHESIS
_,UNDERSCORE,=,EQUAL
_,UNDER,=,EQUAL
=,EQUAL,^,CARET
+,PLUS,~,TILDE
[,LEFT_BRACKET,@,AT_SIGN
[,LBKT,@,AT_SIGN
{,LEFT_BRACE,`,GRAVE
{,LBRC,`,GRAVE
],RIGHT_BRACKET,[,LEFT_BRACKET
],RBKT,[,LEFT_BRACKET
},RIGHT_BRACE,{,LEFT_BRACE
},RBRC,{,LEFT_BRACE
:,COLON,+,PLUS
',SINGLE_QUOTE,:,COLON
',SQT,:,COLON
',APOSTROPHE,:,COLON
',APOS,:,COLON
“,DOUBLE_QUOTES,*,ASTERISK
“,DQT,*,ASTERISK
\,BACKSLASH,],RIGHT_BRACKET
\,BSLH,],RIGHT_BRACKET
|,PIPE,},RIGHT_BRACE
Shift+\,LS(INTERNATIONAL_3),|,PIPE
Shift+\,LS(INT3),|,PIPE
Shift+\,LS(INT_YEN),|,PIPE
`,GRAVE,半角/全角,LANG_ZENKAKUHANKAKU
Shift+RO,LS(INTERNATIONAL_1),_,UNDERSCORE
Shift+RO,LS(INT1),_,UNDERSCORE
Shift+RO,LS(INT_RO),_,UNDERSCORE
